Time,MotorVoltage,SupplyVoltage,
2691.8131,-0.17,12.325,
2691.8174,-0.17,12.325,
2691.8211,-0.17,12.325,
2691.8249,-0.17,12.325,
2691.829,-0.17,12.325,
2691.8331,-0.17,12.325,
2691.8373,-0.17,12.325,
2691.841,-0.17,12.325,
2691.8454,-0.17,12.325,
2691.8493,-0.17,12.325,
2691.8534,-0.17,12.325,
2691.8573,-0.17,12.325,
2691.8573,-0.17,12.325,
2691.8615,-0.17,12.325,
2691.8655,-0.17,12.325,
2691.8692,-0.17,12.325,
2691.8734,-0.17,12.325,
2691.877,-0.17,12.325,
2691.8812,-0.17,12.325,
2691.8854,-0.17,12.325,
2691.8893,-0.17,12.325,
2691.8934,-0.17,12.325,
2691.8974,-0.17,12.325,
2691.9013,-0.17,12.325,
2691.9054,-0.17,12.325,
2691.9094,-0.17,12.325,
2691.9134,-0.17,12.325,
2691.9173,-0.17,12.325,
2691.9173,-0.17,12.325,
2691.9213,-0.17,12.325,
2691.9254,-0.17,12.325,
2691.9293,-0.17,12.325,
2691.9332,-0.17,12.325,
2691.9375,-0.17,12.325,
2691.9413,-0.17,12.325,
2691.945,-0.17,12.325,
2691.9494,-0.17,12.325,
2691.9533,-0.17,12.325,
2691.9569,-0.17,12.325,
2691.9613,-0.17,12.325,
2691.9653,-0.17,12.325,
2691.9689,-0.17,12.325,
2691.9689,-0.17,12.325,
2691.9733,-0.17,12.325,
2691.9773,-0.17,12.325,
2691.9814,-0.17,12.325,
2691.9853,-0.17,12.325,
2691.9893,-0.17,12.325,
2691.9934,-0.17,12.325,
2691.9973,-0.17,12.325,
2692.0013,-0.17,12.325,
2692.005,-0.17,12.325,
2692.009,-0.17,12.325,
2692.0128,-0.17,12.325,
2692.0174,-0.17,12.325,
2692.0213,-0.17,12.325,
2692.0254,-0.17,12.325,
2692.0293,-0.17,12.325,
2692.0334,-0.17,12.325,
2692.0373,-0.17,12.325,
2692.0413,-0.17,12.325,
2692.0413,-0.17,12.325,
2692.0454,-0.17,12.325,
2692.0493,-0.17,12.325,
2692.0534,-0.17,12.325,
2692.0573,-0.17,12.325,
2692.0614,-0.17,12.325,
2692.0654,-0.17,12.325,
2692.0693,-0.17,12.325,
2692.073,-0.17,12.325,
2692.077,-0.17,12.325,
2692.0813,-0.17,12.325,
2692.0853,-0.17,12.325,
2692.0893,-0.17,12.325,
2692.0934,-0.17,12.325,
2692.0973,-0.17,12.325,
2692.1013,-0.17,12.325,
2692.1013,-0.17,12.325,
2692.1049,-0.17,12.325,
2692.109,-0.17,12.325,
2692.1133,-0.17,12.325,
2692.1175,-0.17,12.325,
2692.1213,-0.17,12.325,
2692.1254,-0.17,12.325,
2692.1289,-0.17,12.325,
2692.1333,-0.17,12.325,
2692.1373,-0.17,12.325,
2692.1413,-0.17,12.325,
2692.1455,-0.17,12.325,
2692.1494,-0.17,12.325,
2692.1534,-0.17,12.325,
2692.157,-0.17,12.325,
2692.1613,-0.17,12.325,
2692.1613,-0.17,12.325,
2692.1651,-0.17,12.325,
2692.1698,-0.17,12.325,
2692.1734,-0.17,12.325,
2692.1773,-0.17,12.325,
2692.1812,-0.17,12.325,
2692.1853,-0.17,12.325,
2692.1893,-0.17,12.325,
2692.1934,-0.17,12.325,
2692.1977,-0.17,12.325,
2692.2013,-0.17,12.325,
2692.2054,-0.17,12.325,
2692.2091,-0.17,12.325,
2692.213,-0.17,12.325,
2692.2178,-0.17,12.325,
2692.2213,-0.17,12.325,
2692.2254,-0.17,12.325,
2692.2254,-0.17,12.325,
2692.229,-0.17,12.325,
2692.2333,-0.17,12.325,
2692.2375,-0.17,12.325,
2692.2413,-0.17,12.325,
2692.2454,-0.17,12.325,
2692.2494,-0.17,12.325,
2692.2534,-0.17,12.325,
2692.2574,-0.17,12.325,
2692.2618,-0.17,12.325,
2692.2654,-0.17,12.325,
2692.2693,-0.17,12.325,
2692.2733,-0.17,12.325,
2692.2774,-0.17,12.325,
2692.2809,-0.17,12.325,
2692.2858,-0.17,12.325,
2692.2858,-0.17,12.325,
2692.2893,-0.17,12.325,
2692.2934,-0.17,12.325,
2692.2973,-0.17,12.325,
2692.3014,-0.17,12.325,
2692.3053,-0.17,12.325,
2692.3089,-0.17,12.325,
2692.3138,-0.17,12.325,
2692.3174,-0.17,12.325,
2692.3213,-0.17,12.325,
2692.3254,-0.17,12.325,
2692.3294,-0.17,12.325,
2692.3337,-0.17,12.325,
2692.3373,-0.17,12.325,
2692.3414,-0.17,12.325,
2692.3453,-0.17,12.325,
2692.3494,-0.17,12.325,
2692.3494,-0.17,12.325,
2692.3534,-0.17,12.325,
2692.3574,-0.17,12.325,
2692.3613,-0.17,12.325,
2692.3652,-0.17,12.325,
2692.3694,-0.17,12.325,
2692.3737,-0.17,12.325,
2692.3774,-0.17,12.325,
2692.3812,-0.17,12.325,
2692.3854,-0.17,12.325,
2692.3894,-0.17,12.325,
2692.3934,-0.17,12.325,
2692.3974,-0.17,12.325,
2692.4012,-0.17,12.325,
2692.4054,-0.17,12.325,
2692.4094,-0.17,12.325,
2692.4094,-0.17,12.325,
2692.4133,-0.17,12.35,
2692.4173,-0.17,12.35,
2692.4214,-0.17,12.35,
2692.4253,-0.17,12.325,
2692.4289,-0.17,12.325,
2692.4332,-0.17,12.325,
2692.4374,-0.17,12.325,
2692.4413,-0.17,12.325,
2692.4454,-0.17,12.35,
2692.4494,-0.17,12.35,
2692.4534,-0.17,12.35,
2692.4569,-0.17,12.325,
2692.461,-0.17,12.325,
2692.4653,-0.17,12.325,
2692.4693,-0.17,12.325,
2692.4693,-0.17,12.325,
2692.4734,-0.17,12.325,
2692.4774,-0.17,12.325,
2692.4814,-0.17,12.35,
2692.4853,-0.17,12.35,
2692.489,-0.17,12.325,
2692.4933,2.85,12.275,
2692.4972,3.95,11.95,
2692.5014,5.05,11.3,
2692.5054,5.28,10.775,
2692.5094,5.02,10.425,
2692.5132,4.68,10.55,
2692.5173,4.34,10.95,
2692.5212,4.01,11.4,
2692.5252,3.53,11.7,
2692.5294,3.22,12.025,
2692.5334,2.93,12.225,
2692.5334,2.93,12.225,
2692.537,2.87,12.25,
2692.5413,2.61,12.225,
2692.5454,2.41,12.175,
2692.5493,2.22,12.15,
2692.5534,2.09,12.1,
2692.5574,2.02,12.075,
2692.5614,1.86,12.05,
2692.5654,1.83,12.05,
2692.5693,1.67,12.05,
2692.5734,1.53,12.05,
2692.5774,1.41,12.05,
2692.5814,1.36,12.05,
2692.5854,1.27,12.075,
2692.5854,1.27,12.075,
2692.5891,1.19,12.1,
2692.5931,1.06,12.1,
2692.5973,0.94,12.125,
2692.6014,0.94,12.125,
2692.6055,0.82,12.125,
2692.6094,0.77,12.15,
2692.6134,0.81,12.15,
2692.6173,0.76,12.15,
2692.6214,0.72,12.175,
2692.6254,0.58,12.175,
2692.6294,0.67,12.175,
2692.6335,0.54,12.175,
2692.6375,0.51,12.175,
2692.6375,0.51,12.175,
2692.6411,0.52,12.175,
2692.6457,0.47,12.175,
2692.6494,0.4,12.2,
2692.6531,0.36,12.2,
2692.6571,0.37,12.2,
2692.6611,0.35,12.2,
2692.6655,0.35,12.2,
2692.6694,0.34,12.2,
2692.6731,0.3,12.2,
2692.6774,0.22,12.225,
2692.6809,0.29,12.225,
2692.6855,0.23,12.225,
2692.689,0.27,12.225,
2692.6934,0.15,12.225,
2692.6974,0.24,12.225,
2692.7014,0.24,12.225,
2692.7014,0.24,12.225,
2692.7054,0.19,12.225,
2692.7094,0.21,12.225,
2692.7134,0.15,12.225,
2692.7174,0.05,12.225,
2692.7213,0.13,12.225,
2692.725,0.02,12.225,
2692.7295,0.1,12.225,
2692.7334,0.12,12.225,
2692.7374,0.12,12.225,
2692.7414,0.12,12.225,
2692.7454,-0.12,12.225,
2692.7493,-0.12,12.225,
2692.7534,-0.12,12.225,
2692.7574,-0.1,12.225,
2692.7615,-0.12,12.25,
2692.7615,-0.12,12.25,
2692.7654,-0.14,12.225,
2692.7693,-0.14,12.225,
2692.7731,-0.14,12.225,
2692.7773,-0.14,12.225,
2692.7809,-0.14,12.225,
2692.7854,-0.14,12.225,
2692.7889,-0.14,12.225,
2692.7935,-0.14,12.225,
2692.7973,-0.14,12.225,
2692.8014,-0.14,12.225,
2692.8054,-0.14,12.225,
2692.8094,-0.14,12.225,
2692.8134,-0.14,12.225,
2692.8174,-0.14,12.2,
2692.8213,-0.14,12.2,
2692.8254,-0.14,12.2,
2692.8254,-0.14,12.2,
2692.8294,-0.14,12.2,
2692.8334,-0.14,12.2,
2692.837,-0.14,12.2,
2692.841,-0.14,12.2,
2692.8454,-0.14,12.2,
2692.8493,-0.14,12.175,
2692.8534,-0.14,12.175,
2692.8574,-0.14,12.175,
2692.8614,-0.14,12.175,
2692.8654,-0.14,12.175,
2692.8693,-0.14,12.175,
2692.8733,-0.14,12.15,
2692.8774,-0.14,12.175,
2692.8812,-0.14,12.175,
2692.8854,-0.14,12.15,
2692.889,-0.14,12.15,
2692.889,-0.14,12.15,
2692.8931,-0.14,12.15,
2692.897,-0.14,12.15,
2692.9015,-0.14,12.15,
2692.9054,-0.14,12.15,
2692.9093,-0.14,12.15,
2692.9134,-0.14,12.125,
2692.9174,-0.14,12.1,
2692.9213,-0.13,12.1,
2692.9251,-0.13,12.1,
2692.929,-0.14,12.075,
2692.9329,-0.14,12.05,
2692.9373,-0.14,12.05,
2692.9414,-0.14,12.075,
2692.9453,-0.14,12.075,
2692.9494,-0.14,12.075,
2692.9494,-0.14,12.075,
2692.9533,-0.14,12.075,
2692.957,-0.14,12.075,
2692.9613,-0.14,12.1,
2692.965,-0.14,12.1,
2692.9694,-0.14,12.1,
2692.9733,-0.14,12.05,
2692.9773,-0.14,12,
2692.9814,-0.14,12,
2692.9855,-0.14,12,
2692.9895,-0.14,11.975,
2692.9934,-0.14,11.95,
2692.9975,-0.17,11.95,
2693.0014,-0.17,11.95,
2693.0014,-0.17,11.95,
2693.0054,-0.17,11.95,
2693.0094,-0.17,11.95,
2693.0133,-0.17,11.975,
2693.0173,-0.17,11.975,
2693.0213,-0.17,12,
2693.0253,-0.17,12,
2693.0293,-0.17,12,
2693.0332,-0.17,12,
2693.0371,-0.17,12,
2693.0414,-0.17,12,
2693.0453,-0.17,12.025,
2693.0494,-0.17,12.025,
2693.053,-0.17,12.025,
2693.0573,-0.17,12.025,
2693.0614,-0.17,12.025,
2693.0614,-0.17,12.025,
2693.0654,-0.17,12.05,
2693.069,-0.17,12.05,
2693.0733,-0.17,12.075,
2693.0773,-0.17,12.075,
2693.0813,-0.17,12.1,
2693.0851,-0.17,12.1,
2693.0894,-0.17,12.1,
2693.0933,-0.17,12.1,
2693.0974,-0.17,12.1,
2693.1015,-0.17,12.1,
2693.1053,-0.17,12.125,
